author_id,type,titre,annee,venue_raw,auteurs,rank
18,journal,Buffer dimensioning per frames in packet networks.,2025,Real Time Syst.,Richard Garreau | Frédéric Ridouard | Henri Bauer | Pascal Richard,NC
18,conference,Global Versus Local Schedulability Analysis of a Two-Level Hierarchical System.,2025,ISORC,Luc Descharmes | Henri Bauer | Frédéric Ridouard | Annie Choquet-Geniet,C
18,conference,Configuring the IEEE 802.1Q Time-Aware Shaper with Deep Reinforcement Learning.,2024,NOMS,Adrien Roberty | Quentin Besnard | Siwar Ben Hadj Said | Frédéric Ridouard | Henri Bauer | Annie Geniet,B
18,conference,Reinforcement Learning for Time-Aware Shaping (IEEE 802.1Qbv) in Time-Sensitive Networks.,2023,ETFA,Adrien Roberty | Siwar Ben Hadj Said | Frédéric Ridouard | Henri Bauer | Annie Geniet,TBR
18,conference,Link Between Real-Time Scheduling and Time-Triggered Networks.,2023,RTSS,Richard Garreau | Matheus Ladeira | Emmanuel Grolleau | Henri Bauer | Frédéric Ridouard | Pascal Richard,A*
1,conference,Towards Automating RDF Extraction for Archaeological Knowledge Graphs with LLMs.,2025,DEXA (1),Ali Hariri | Stéphane Jean | Mickaël Baron,C
1,conference,Clustering Under Radius Constraints Using Minimum Dominating Sets.,2024,ISMIS,Quentin Haenn | Brice Chardin | Mickaël Baron,C
1,conference,Knowledge Graphs for Data Integration in Retail.,2024,ISMIS,Maxime Perrot | Mickaël Baron | Brice Chardin | Stéphane Jean,C
1,conference,Thesaurus-Based Transformation: A Classification Method for Real Dirty Data.,2023,ADBIS (Short Papers),Maxime Perrot | Mickaël Baron | Brice Chardin | Stéphane Jean,C
1,journal,A cooperative treatment of the plethoric answers problem in RDF.,2022,Knowl. Inf. Syst.,Louise Parkin | Brice Chardin | Stéphane Jean | Allel Hadjali | Mickaël Baron,NC
1,conference,Trust Model Recommendation Driven by Application Requirements.,2022,RCIS,Chayma Sellami | Mickaël Baron | Stéphane Jean | Mounir Bechchi | Allel Hadjali | Dominique Chabot,B
